railway_station_code,railway_station_name,railway_latitude,railway_longitude,ghcnh_station_id,ghcnh_station_name,ghcnh_latitude,ghcnh_longitude,distance_km
SFG,Subedarganj,25.439879,81.789897,42475099999,ALLAHABAD ARPT,25.44,81.734,5.61
SFH,Safedabad,26.8978573678,81.1166012347,42369099999,LUCKNOW / CHAUDHARY CHARAN SINGH INTL,26.761,80.889,27.23
SFR,Safrai,27.029014999999998,94.942883,42314099999,DIBRUGARH,27.484,95.017,51.12
SFW,Sarangpur,23.5810641859,76.4871872211,42557099999,RAJGARH,24.0,76.717,52.12
SFX,Safilguda,17.461671,78.53311000000001,43128099999,BEGUMPET AIRPORT / HYDERABAD INTL,17.452,78.461,7.72
SFY,Shajapur,23.425074,76.297843,42662099999,UJJAIN,23.183,75.783,59.07
SGA,Shergarh,30.080230999999998,74.947251,42123099999,GANGANAGAR,29.917,73.917,100.86
SGAC,Sogariya,25.230055,75.90022099999999,42452099999,KOTA,25.16,75.846,9.51
SGAM,Sareigram,24.039636,82.205614,42577099999,SIDHI,24.417,81.867,54.22
SGBJ,Surgaon Banjari,21.946109,76.544215,42855099999,KHANDWA,21.833,76.367,22.19
SGD,Songadh,21.728936,71.886759,42080199999,BHAVNAGAR,21.752,72.185,30.91
SGDM,Sigadam,18.360601,83.68144099999999,43105099999,KALINGAPATAM,18.333,84.133,47.76
SGDP,Sagadapata,21.244692,85.909396,42891099999,KEONGJHARGARH,21.617,85.517,58.0
SGE,Sankaridurg,11.445732,77.870439,43338099999,ERODE,11.483,77.767,12.01
SGF,Sangat,30.088059,74.83253,42123099999,GANGANAGAR,29.917,73.917,90.19
SGG,Sultanganj,25.24085,86.736175,42498099999,BHAGALPUR,25.233,86.95,21.52
SGJ,Safdarganj,26.914454,81.36116,42369099999,LUCKNOW / CHAUDHARY CHARAN SINGH INTL,26.761,80.889,49.86
SGKM,Srungavruksham,16.543756,81.601906,43187099999,NARSAPUR,16.433,81.7,16.16
SGL,Sagauli,26.758187,84.73934,42383099999,MOTIHARI,26.667,84.917,20.35
SGLA,Sangola,17.435563000000002,75.187581,43117099999,SOLAPUR,17.628,75.935,82.09
SGNR,Shri Ganganagar,29.931792,73.87141700000001,42123099999,GANGANAGAR,29.917,73.917,4.69
SGO,Saugor,23.84735,78.74292,42671099999,SAGAR,23.85,78.75,0.78
SGP,Sohagpur,22.693813,78.194338,42767099999,PACHMARHI,22.467,78.433,35.16
SGR,Sangameshwar Road,17.201998999999997,73.546234,43110099999,RATNAGIRI,16.983,73.333,33.27
SGRA,Sangaria,29.792507999999998,74.466053,42123099999,GANGANAGAR,29.917,73.917,54.73
SGRD,Saragaon Road  Halt,22.019979,82.743775,42782099999,BILASPUR,21.988,82.111,65.33
SGRL,Singrauli,24.204257000000002,82.642735,42577099999,SIDHI,24.417,81.867,82.09
SGS,Shoghi,31.038759000000002,77.12423700000001,42083099999,SHIMLA,31.1,77.167,7.93
SGUJ,Siliguri,26.723204,88.413663,42398099999,BAGDOGRA,26.681,88.329,9.63
SGV,Saragchni,24.01772,88.244037,42603099999,BERHAMPORE,24.133,88.267,13.03
SGZ,Shamgarh,24.191141000000002,75.642842,42452099999,KOTA,25.16,75.846,109.67
SHAN,Srinivasa Nagar,17.9099557799,78.4619205481,43083099999,MEDAK,18.05,78.267,25.84
SHC,Saharsa,25.875207999999997,86.594953,42393099999,SUPAUL,26.133,86.583,28.69
SHDM,Shahbad Marknda,30.166186,76.861554,42103099999,AMBALA,30.383,76.767,25.76
SHDR,Shadhoragaon,24.633366,77.584671,42559099999,GUNA,24.65,77.317,27.12
SHE,Seoraphuli,22.774749,88.328809,42809099999,NETAJI SUBHASH CHANDRA BOSE INTL,22.655,88.447,18.01
SHF,Shirud,20.735376,74.876271,42925099999,MALEGAON,20.55,74.533,41.24
SHG,Shahganj,26.061399,82.679662,42479099999,LAL BAHADUR SHASTRI VARANASI INTL,25.45,82.867,70.53
SHGN,Shri Ghasinagar,27.086514837299998,76.6268054126,42255099999,ALWAR,27.5,76.583,46.18
SHH,Shapur,21.478281,70.37105700000001,42832099999,KESHOD,21.317,70.317,18.79
SHK,Sheikpura,25.132088,85.854024,42492099999,JAI PRAKASH NARAYAN INTL PATNA,25.591,85.088,92.35
SHM,Shalimar,22.555508,88.315615,42807099999,BEHALA,22.505,88.293,6.08
SHMI,Shiroor,13.930712,74.59396600000001,43229099999,SHIRALI,14.067,74.533,16.52
SHN,Suchan Kotli,29.515832999999997,75.170322,42131099999,HISAR,29.179,75.755,67.93
SHNR,Shadnagar,17.064646,78.213273,43128599999,HYDERABAD INTL AIRPORT / RAJIV GANDHI INTL,17.233,78.417,28.62
SHR,Sihora Road,23.467136,80.110265,42675099999,JABALPUR,23.178,80.052,32.7
SHSK,Saharsrakund,19.402665,78.00795299999999,43025099999,ADILABAD,19.65,78.533,61.52
SHTT,Silghat Town,26.608902,92.929931,42415099999,TEZPUR,26.617,92.783,14.63
SHU,Sholinghur,13.013974,79.484589,43277099999,TIRUTTANI,13.15,79.533,16.01
SHV,Shivani,13.8111396742,76.0582362866,43258099999,SHIVAMOGGA,13.858,75.62,47.6
SHZ,Summer Hill,31.107469,77.138165,42083099999,SHIMLA,31.1,77.167,2.87
SIA,Shivlankha,23.380465,70.620232,42638099999,KANDLA AERODROME,23.15,70.117,57.44
SID,Siddhpur,23.918067,72.367959,42539099999,DEESA,24.2,72.2,35.69
SIE,Siddampalli,13.160644999999999,79.137135,43303099999,VELLORE,12.917,79.15,27.13
SII,Sitimani,16.31992,75.865598,43161099999,BIJAPUR,16.817,75.717,57.5
SIKD,Sikroda Kwanri,26.569564,77.96285300000001,42354099999,DHOLPUR,26.667,77.833,16.85
SIKR,Sikar,27.616275,75.15337799999999,42249099999,SIKAR,27.617,75.133,2.01
SIL,Sakhi Gopal,19.942882,85.816074,43053099999,PURI,19.8,85.817,15.89
SILO,Silao,25.078598999999997,85.434638,42591099999,GAYA,24.744,84.951,61.35
SINI,Sini,22.78946,85.94702600000001,42798099999,JAMSHEDPUR,22.813,86.169,22.9
SIOB,Samakhiali B G,23.309819,70.503394,42638099999,KANDLA AERODROME,23.15,70.117,43.3
SIP,Suraimanpur,25.80918,84.48002199999999,42488099999,CHAPRA,25.783,84.733,25.49
SIPA,Singhookharia,22.498243000000002,85.795126,42795099999,CHAIBASA,22.55,85.817,6.18
SIPR,Sihapar,26.757903231,83.16487227660001,42379099999,GORAKHPUR,26.74,83.45,28.38
SIR,Sirhind,30.624222,76.383194,42101099999,PATIALA,30.333,76.467,33.36
SIRD,Sird,27.5544208128,72.5964046204,42237099999,PHALODI,27.133,72.367,52.05
SIW,Shiravade,17.3606825795,74.1573548438,43113099999,SATARA,17.517,74.05,20.78
SJL,Sgm Jagarlamudi,16.246589,80.570521,43181099999,VIJAYAWADA,16.53,80.797,39.71
SJN,Sanjan,20.19165,72.820594,42916099999,DAMAN,20.417,72.85,25.24
SJP,Shujalpur,23.381235999999998,76.72347500000001,42667099999,BHOPAL / RAJA BHOJ,23.287,77.337,63.51
SJQ,Surajpur Road,23.289233,82.880146,42693099999,AMBIKAPUR,23.167,83.25,40.16
SJS,Shamlaji Road,23.621619,73.335655,42654099999,GANDHINAGAR,23.233,72.717,76.49
SJT,Shujaatpur,25.605607000000003,81.401934,42475099999,ALLAHABAD ARPT,25.44,81.734,38.07
SK,Saakhun,26.7380786343,75.0911894116,42343099999,AJMER,26.45,74.617,57.0
SKA,Sikandra Rao,27.684085999999997,78.387573,42262099999,ALIGARH,27.883,78.067,38.52
SKAP,Skpara,23.971989,91.94712,42618099999,KAILASHAHAR,24.317,92.0,38.74
SKAR,Sakariya,24.607481,80.90078,42571099999,SATNA,24.567,80.833,8.2
SKB,Shikohabad,27.085686,78.57495499999999,42364099999,ETAWAH,26.921,79.062,51.61
SKEN,Sukhshena Halt,25.790577,87.111962,42395099999,FORBESGANJ,26.3,87.267,58.72
SKF,Sakhoti Tanda,29.192626,77.71804900000001,42139099999,MEERUT,29.017,77.717,19.53
SKGH,Saktesgarh,24.999741,82.821887,42483099999,VARANASI,25.3,83.017,38.73
SKHK,Sukhasan Kothi Halt,25.841387,87.15210099999999,42395099999,FORBESGANJ,26.3,87.267,52.27
SKI,Sakri,26.208947000000002,86.078137,42391099999,DARBHANGA,26.167,85.9,18.38
SKJ,Sahibpur Kamal,25.4270372397,86.4001292639,42498099999,BHAGALPUR,25.233,86.95,59.33
SKLI,Sukli,21.677859,79.683653,42771099999,SEONI,22.083,79.55,47.11
SKLR,Sakleshpur,12.945368,75.778745,43260099999,CHICKMAGALUR,13.25,75.75,34.02
SKM,Singarayakonda,15.253117999999999,80.027126,43221099999,ONGOLE,15.5,80.083,28.1
SKN,Srikrishn Nagar,25.88403,82.447803,42479099999,LAL BAHADUR SHASTRI VARANASI INTL,25.45,82.867,63.99
SKND,Sukinda Road,20.971268,86.05375,42970099999,CUTTACK,20.467,85.933,57.46
SKP,Shankarpalli,17.450825,78.131116,43128099999,BEGUMPET AIRPORT / HYDERABAD INTL,17.452,78.461,34.99
SKQ,Sikandarpur,28.247759000000002,77.783931,42183099999,BULANDSHAHR,28.4,77.867,18.78
SKRI,Sikaria,25.5633290199,84.34768584109999,42488099999,CHAPRA,25.783,84.733,45.69
SKS,Salekasa,21.30163,80.493224,42871099999,GONDIA ARPT/BIRSI,21.524,80.288,32.6
SKT,Sakti,22.011785000000003,82.956526,42782099999,BILASPUR,21.988,82.111,87.21
SKTN,Shaktinagar,24.122899,82.704734,42577099999,SIDHI,24.417,81.867,91.0
SKZR,Sirpur Kaghaznagar,19.345659,79.489201,43086099999,RAMGUNDAM,18.767,79.433,64.61
SL,Surathkal,12.989191,74.80617699999999,43285099999,MANGALORE/PANAMBUR,12.95,74.833,5.24
SLB,Salboni,22.640971,87.321899,42803099999,MIDNAPORE,22.417,87.317,24.91
SLD,Sakaldiha,25.331472,83.289193,42482099999,GHAZIPUR,25.4,83.55,27.29
SLF,Silli,23.351563397099998,85.82812938660001,42701099999,BIRSA MUNDA,23.314,85.322,51.85
SLGE,Sulerjavalge,17.45892,75.974841,43117099999,SOLAPUR,17.628,75.935,19.27
SLGR,Simaluguri,26.917281,94.756816,42423199999,JORHAT,26.732,94.176,61.21
SLI,Sangli,16.858669000000003,74.588939,43158099999,SANGLI,16.85,74.6,1.52
SLJ,Sakrigali,25.243358999999998,87.715967,42500099999,PURNEA,25.267,87.467,25.18
SLKR,Salka Road,22.36745,82.010606,42782099999,BILASPUR,21.988,82.111,43.44
SLKX,Salakati,26.44577,90.357339,42407099999,GOALPARA,26.183,90.633,40.11
SLM,Somalapuram,14.914015000000001,76.86885600000001,43233099999,CHITRADURGA,14.233,76.433,89.08
SLN,Sultanpur,26.263027,82.066106,42374099999,AYODHA,26.748,82.163,54.78
SLNA,Salauna,25.603476,86.260279,42393099999,SUPAUL,26.133,86.583,67.15
SLO,Samalkot,17.044827,82.168724,43189099999,KAKINADA,16.95,82.233,12.57
SLR,Salogra,30.934311,77.130516,42083099999,SHIMLA,31.1,77.167,18.75
SLRA,Sarala,21.511822,84.017534,42883099999,SAMBALPUR,21.467,83.967,7.22
SLRD,Surla Road,19.177016000000002,84.719145,43049099999,GOPALPUR,19.267,84.883,19.9
SLS,Salanpur,23.760355,86.876395,42706099999,BANKURA,23.383,87.083,46.95
SLW,Sohwal,26.753048,81.983837,42374099999,AYODHA,26.748,82.163,17.8
SLX,Seleng Hat,26.783438032899998,94.4827626898,42423199999,JORHAT,26.732,94.176,30.99
SLY,Samalpatti,12.311594,78.484032,43302099999,TIRUPPATTUR,12.483,78.567,21.08
SM,Samsi,25.276197,88.00975700000001,42503099999,MALDA,25.033,88.133,29.75
SMAE,Samudra Garh,23.335767,88.324967,42711099999,KRISHNANAGAR,23.4,88.517,20.86
SMBL,Simbhooli,28.765190999999998,77.98347199999999,42139099999,MEERUT,29.017,77.717,38.17
SMBX,Samba,32.528358000000004,75.120256,42056099999,JAMMU,32.667,74.833,31.01
SMDP,Shahabad Mdpur,28.560927,77.071838,42181099999,INDIRA GANDHI INTL,28.567,77.103,3.12
SME,Shimoga,13.927613,75.592671,43258099999,SHIVAMOGGA,13.858,75.62,8.28
SMET,Shimoga Town,13.943036999999999,75.583174,43258099999,SHIVAMOGGA,13.858,75.62,10.26
SMF,Samar Gopalpur,28.9608890803,76.51864460750001,42176099999,ROHTAK,28.833,76.583,15.54
SMI,Sitamarhi,26.594374000000002,85.504707,42387099999,MUZAFFARPUR,26.117,85.4,54.1
SMK,Samalkha,29.240172,77.003034,42137099999,KARNAL,29.7,77.033,51.21
SML,Shimla,31.102794,77.159932,42083099999,SHIMLA,31.1,77.167,0.74
SMLA,Samlaya,22.483966,73.302104,42744099999,VALLABH VIDYANAGAR,22.567,72.933,39.02
SMLG,Shimili Guda,18.303639999999998,82.95710500000001,43097099999,KORAPUT,18.817,82.717,62.44
SMNE,Somatne,18.952233,73.145524,43060099999,MATHERAN,18.983,73.283,14.86
SMO,Semapur,25.524483,87.47044100000001,42500099999,PURNEA,25.267,87.467,28.63
SMP,Shambhupura,24.771439,74.641918,42546099999,CHITTORGARH,24.883,74.633,12.44
SMPA,Shyampura,25.222941000000002,75.233108,42447099999,BHILWARA,25.35,74.633,61.97
SMPR,Shri Madhopur,27.457628,75.59829400000001,42249099999,SIKAR,27.617,75.133,49.18
SMQL,Shamli,29.444596999999998,77.316231,42137099999,KARNAL,29.7,77.033,39.46
SMR,Samdhari,25.837202,72.57300699999999,42339099999,JODHPUR,26.251,73.049,66.17
SMRL,Samarala,30.824281,76.18245499999999,42099099999,LUDHIANA,30.867,75.933,24.28
SMRR,Sumreri,24.006945,78.399411,42671099999,SAGAR,23.85,78.75,39.68
SMT,Salamatpur,23.461639,77.67275,42672099999,RAISEN,23.317,77.833,22.94
SMTL,Simariatal,25.9219956094,78.3042595734,42460099999,DATIA,25.667,78.467,32.7
SMX,Simurali,23.041337,88.51016399999999,42714099999,BAGATI,22.983,88.367,16.02
SMZ,Sarai Mir,26.0281419,82.9239538,42479099999,LAL BAHADUR SHASTRI VARANASI INTL,25.45,82.867,64.54
SNA,Sadanapura,22.602487999999997,73.01247500000001,42744099999,VALLABH VIDYANAGAR,22.567,72.933,9.06
SNAR,Srinagar,25.3640471585,75.5690913623,42452099999,KOTA,25.16,75.846,35.92
SNC,S Narayan Chhapia,26.9810021017,82.3961659851,42374099999,AYODHA,26.748,82.163,34.73
SNCA,Singra,25.984617,91.143131,42410099999,GUWAHATI INTL / LOKPRIYA GOPINATH BORDOLOI INTL,26.106,91.586,46.26
SNDD,Sindhudurg,16.111322,73.67934,43193099999,VENGURLA,15.867,73.633,27.62
SNF,Sanatnagar,17.4616070935,78.4359471722,43128099999,BEGUMPET AIRPORT / HYDERABAD INTL,17.452,78.461,2.86
SNGN,Sanganer,26.814113,75.772245,42348099999,JAIPUR,26.824,75.812,4.1
SNGR,Sanganapur,19.188596,76.7364,43017099999,PARBHANI,19.133,76.833,11.88
SNH,Saunshi,15.206786,75.295781,43201199999,HUBLI / HUBBALLI,15.35,75.083,27.83
SNI,Sindi,20.816446,78.883342,42867099999,DR BABA SAHEB AMBEDKAR INTL,21.092,79.047,35.04
SNIE,Sath Naraini,25.795325,81.03942,42471099999,FATEHPUR,25.933,80.833,25.71
SNK,Sindkheda,21.234022,74.73536700000001,42846099999,NANDURBAR,21.333,74.25,51.48
