station_code,station_name,latitude,longitude,state,zone,has_coordinates
BAY,Ballari,15.145135,76.921995,Karnataka,SWR,True
BAZ,Baran,25.0967701,76.50512839999999,Rajasthan,WCR,True
BBA,Babrala,28.2664932,78.4034137,Uttar Pradesh,NR,True
BBAI,Bhadbhunja,21.166264,73.693754,,,True
BBD,Bablad,17.337569,76.779259,,,True
BBGN,Barua Bamungaon,26.662157,93.944693,Assam,NFR,True
BBHT,Barabar Halt,25.0558596095,84.9743682056,Bihar,?,True
BBK,Barabanki,26.935335,81.18104,,,True
BBM,Barabhum,23.0912864,86.2112372,,,True
BBN,Barbil,22.104577,85.36905800000001,Odisha,SER,True
BBS,Bhubaneswar,20.265388,85.84259499999999,,,True
BBSN,Bhubaneswar New,20.382175,85.83518699999999,,,True
BBTR,Barbatpur,22.197033,77.920758,,,True
BBU,Bhabua Road,25.173007,83.618913,,,True
BC,Bareilly City,28.3556564,79.403718,,,True
BCA,Bachwara,25.5812576,85.90014240000001,,,True
BCB,Bhowra Bh,23.67077,86.417009,Jharkhand,SER,True
BCH,Berchha,23.282480800000002,76.33419289999999,,,True
BCHL,Bacheli,18.703461,81.238534,Chhattisgarh,ECoR,True
BCK,Balichak,22.35818589,87.55335416,,,True
BCN,Bachhrawan,26.4773211,81.10545649999999,,,True
BCOB,Bhachau Bg,23.301391,70.34497200000001,,,True
BCP,Bichpuri,27.176397,77.91435,,,True
BCQ,Barachak,23.706726,86.92813299999999,,,True
BCRD,Barchhi Road,21.951502,78.311632,Madhya Pradesh,CR,True
BCU,Bhuchchu,30.209881999999997,75.0951862,Punjab,NR,True
BCY,Varanasi City,25.3341176,83.0141142,Uttar Pradesh,NER,True
BD,Badnera,20.8567925,77.73231969999999,,,True
BDBA,Badabandha,20.276721000000002,86.519951,Orissa,ECoR,True
BDBP,Basudebpur,24.6355270351,87.98253549799999,Bihar,ER,True
BDC,Bandel,22.9236565,88.3793623,,,True
BDCR,Bhadrachalam Rd,17.550365,80.616024,Andhra Pradesh,SCR,True
BDDR,Badodar,21.361072999999998,70.295846,Gujarat,WR,True
BDE,Bodeli,22.2701906,73.71657979999999,Gujarat,WR,True
BDGM,Badgam,,,,,False
BDGU,Budagumpa,,,,,False
BDH,Bhedia,23.586642,87.711813,,,True
BDI,Bhadli,21.0236632507,75.672912326,,,True
BDJ,Vadakara,11.593321399999999,75.5869409,Kerala,SR,True
BDL,Vindhyachal,25.160771699999998,82.5020212,,,True
BDLN,Bordolani,,,,,False
BDM,Badami,15.958918,75.6767002,Karnataka,SWR,True
BDMJ,Bhodwal Majri,29.1852092,77.0082364,,,True
BDNK,Bodinayakkanur,,,,,False
BDNP,Bidanpur,25.585017,81.44201699999999,,,True
BDO,Bahalda Road,,,,,False
BDPG,Bada Padagaon,20.570588309999998,85.87382799,,,True
BDPK,Burhapanka,20.853156679999998,85.25582286000001,,,True
BDSW,Budhsinghwala,29.831708406844584,74.22266067937016,Rajasthan,NWR,True
BDTS,Bandra Terminus,19.061911,72.840535,Maharashtra,WR,True
BDU,Badnapur,19.873979,75.722483,Maharashtra,SCR,True
BDVL,Budvel,17.3093773,78.4245182,,,True
BDVR,Boddavara,18.175095,83.112494,,,True
BDVT,Bhadravati,13.842428700000001,75.702832,Karnataka,SWR,True
BDW,Bandanwara,26.1253008,74.6913786,Rajasthan,NWR,True
BDWD,Bodwad,20.9035827,76.017046,,,True
BDWL,Biradhwal,29.1741168151,73.896516228,Rajasthan,NWR,True
BDWS,Badarwas,24.983339819999998,77.56182792,Madhya Pradesh,WCR,True
BDXT,Basai Dhankot,28.464735,76.983187,Haryana,NR,True
BDXX,Badearapur,19.011494000000003,81.837917,Chhattisgarh,ECoR,True
BDYR,Bidyadabri,26.271855000000002,89.767506,,,True
BDZ,Badkulla,23.3046657,88.526557,West Bengal,ER,True
BE,Bareilly(nr),28.337154299999998,79.4108444,,,True
BEA,Bihiya,25.558893,84.448984,,,True
BEAS,Beas,31.5193738,75.2908085,,,True
BEB,Beldanga,23.9320594,88.2429681,West Bengal,ER,True
BEDM,Bedham,27.453929,77.209461,Rajasthan,NCR,True
BEH,Bagdihi,21.951046,84.18631,,,True
BEHJ,Behaj,27.481951,77.396587,,,True
BEHR,Beohari,24.0002687,81.3797154,Madhya Pradesh,WCR,True
BEHS,Bihar Sharif,25.206116,85.5390747,Bihar,ECR,True
BELA,Bela,24.97843,84.981353,Bihar,ECR,True
BELD,Belkhera,22.981891,79.299879,Madhya Pradesh,WCR,True
BEM,Badaun,28.0274922,79.1360237,Uttar Pradesh,NER,True
BENA,Belonia,,,,,False
BENL,Benl,16.384407,75.882249,Karnataka,SWR,True
BER,Beawar,26.1089078,74.3149711,Rajasthan,NWR,True
BET,Bareth,23.91494729,77.99967978000001,,,True
BEU,Bisheshwarganj,27.341282,81.833817,Uttar Pradesh,NER,True
BEW,Betavad,21.149244,74.886199,,,True
BEY,Bugganipalle,15.48632233,78.19541209,,,True
BFD,Borhat,27.164263,95.277512,Assam,NFR,True
BFE,Bahawal Basi,30.147265,74.279311,Punjab,NR,True
BFJ,Bhoras Budrukh,20.538301,75.01429200000001,Maharashtra,CR,True
BFM,Bhalui,25.0732160325,86.172874585,,,True
BFR,Bekal Fort,12.385524,75.04278599999999,Kerala,SR,True
BFT,Bhabta,23.9869677,88.241584,West Bengal,ER,True
BG,Bhongir,17.524696,78.89847,,,True
BGAE,Balagarh,23.1215453,88.4525522,West Bengal,ER,True
BGAN,Bangain,27.238993,81.90592400000001,Uttar Pradesh,NER,True
BGBR,Bagbahra,21.0462946,82.3841486,,,True
BGD,Bara Gudah,29.697657,75.00164099999999,Haryana,NWR,True
BGHI,Baghai Road,24.555903,81.018663,Madhya Pradesh,WCR,True
BGHU,Borraguhallu,18.275624,83.040289,Andhra Pradesh,ECoR,True
BGK,Bagalkot,16.1787931,75.7002383,Karnataka,SWR,True
BGKT,Bhagat Ki Kothi,26.2484972,73.0133366,Rajasthan,NWR,True
BGM,Belagavi,15.8492433,74.5095639,Karnataka,SWR,True
BGMR,Bagumra,21.149694,72.996091,,,True
BGN,Borgaon,20.7290593,77.1796502,,,True
BGND,Boginadi,,,,,False
BGNP,Banaganapalle,,,,,False
BGNR,Bgnagar,,,,,False
BGO,Bogri Road,22.881747,87.325732,West Bengal,SER,True
BGP,Bhagalpur,25.241909300000003,86.9767918,,,True
BGPL,Baghuapal,21.042219,86.013166,Orissa,ECoR,True
BGQ,Bhongaon,27.2590416,79.1657234,Uttar Pradesh,NCR,True
BGRA,Baghnapara,23.242082,88.329724,West Bengal,ER,True
BGS,Begusarai,25.425296,86.134476,Bihar,ECR,True
BGSF,Bisugirsharif,18.348122,79.483604,,,True
BGTA,Bagra Tawa,22.6307113,77.9937073,Madhya Pradesh,WCR,True
BGU,Bairagnia,26.738281999999998,85.27333399999999,Bihar,ECR,True
BGVN,Bhigwan,18.317256,74.77504200000001,,,True
BGWD,Bagewadi H,16.30777084,74.75360002999999,Karnataka,SWR,True
BGWI,Begdewadi,18.700263,73.708437,,,True
BGY,Bangriposi,22.130678,86.501362,,,True
BGZ,Bahadurgarh,28.700863000000002,76.930886,Haryana,NR,True
BH,Bharuch,21.706907,72.997689,,,True
BHA,Bhandai,27.06906445,77.96680748,,,True
BHAL,Bhatiel,22.477066,72.834624,,,True
BHB,Badla Ghat,25.553762900000002,86.5871439,Bihar,ECR,True
BHBK,Bodhadi Bujrug,19.4962759853,78.1952487683,Maharashtra,SCR,True
BHBR,Bathua Bazar Halt,26.4968303633,84.2321793958,Uttar Pradesh,NER,True
BHC,Bhadrakh,21.091745799999998,86.5162305,,,True
BHCL,Bahora Chandil,25.364918,83.489726,,,True
BHD,Badli,28.746799999999997,77.1377425,,,True
BHET,Bhestan,21.1278829,72.8613128,Gujarat,WR,True
BHGJ,Bihariganj,25.732598999999997,86.992655,Bihar,ECR,True
BHI,Baheri,28.777391,79.5003221,Uttar Pradesh,NER,True
BHJA,Bheja,18.47264914,82.68546380999999,Orissa,ECoR,True
BHKD,Bhurkunda,23.6375642,85.3721452,,,True
BHKH,Baghoi Kusa,24.8399006513,84.46243313289999,,,True
BHL,Bhilwara,25.3435508,74.63077340000001,Rajasthan,NWR,True
BHLA,Behula,23.181967399999998,88.4287921,West Bengal,ER,True
BHLE,Barahat,24.9206004744,87.0100837976,Bihar,ER,True
BHLK,Bhalki,18.047011100000002,77.228081,Karnataka,SCR,True
BHLP,Bhulanpur,25.2878753,82.9575192,Uttar Pradesh,NER,True
BHNE,Bhone,21.018946,75.22247700000001,,,True
BHNS,Bhansi,18.77690197,81.26535758,Chhattisgarh,ECoR,True
BHP,Bolpur S Niktn,23.657804000000002,87.698136,,,True
BHPI,Bichhupali,,,,,False
BHRM,Bishramganj,,,,,False
BHS,Vidisha,23.5222886,77.8148356,,,True
BHT,Bhattu,29.387323,75.34013,Haryana,NWR,True
BHTA,Bhatiya,22.0881542,69.2803623,Gujarat,WR,True
BHTK,Bhanwar Tonk,22.607916,81.897794,,,True
BHTL,Bhatel,22.164096299999997,69.4936287,Gujarat,WR,True
BHTN,Bhitoni,23.142728299999998,79.6740109,Madhya Pradesh,WCR,True
BHTR,Bhatpar Rani,26.3104766,84.03310139999999,,,True
BHUJ,Bhuj,23.2660225,69.6778278,Gujarat,WR,True
BHW,Barharwa,24.857748,87.77449299999999,,,True
BHWA,Bechhiwara,23.787792,73.535256,Rajasthan,NWR,True
BHWR,Bhitiharwa Ashram,,,,,False
BHX,Bulluana,30.217553000000002,74.78304,Punjab,NR,True
BHZ,Bihara,24.9628178,92.689054,Assam,NFR,True
BIA,Bhilai,21.202598300000002,81.4217238,,,True
BID,Bidadi,12.8004252,77.39029839999999,Karnataka,SWR,True
BIDR,Bidar,17.9116836,77.5137793,Karnataka,SCR,True
BIG,Belgahna,22.431085,82.032374,,,True
BIJ,Birnagar,23.2358754,88.55125199999999,West Bengal,ER,True
BIJR,Bijoor,13.8221962,74.6420535,Karnataka,KR,True
BILD,Bildi,23.2255232,74.91853870000001,,,True
BILP,Bhilpur,22.196154999999997,73.323477,Gujarat,WR,True
BIM,Bilimora,20.763319,72.970474,Gujarat,WR,True
BINA,Bina,24.170973500000002,78.1831998,,,True
BINR,Brij Nagar,27.439639,77.089708,Rajasthan,NCR,True
BIO,Bordi,22.8664871,74.3470986,,,True
BIP,Bahilpurwa,25.137088000000002,80.998599,Uttar Pradesh,NCR,True
BIQ,Bansi Paharpur,26.93277,77.457241,Rajasthan,NCR,True
BIRD,Bhiwandi Road,19.268544000000002,73.045654,Maharashtra,CR,True
