segment,mean,median,std,count
SWR->TUX,60.5,47.0,69.46365956383237,16
GNH->DNDI,0.0,0.0,0.0,16
PHA->ANA,27.5625,29.0,15.556215263788726,16
HBI->MMI,0.0,0.0,0.0,16
NWN->NDRT,0.0,0.0,0.0,16
WL->CLE,26.75,0.0,34.377318103656656,16
KUR->KAPG,24.0625,22.0,13.7087259315615,16
SKTN->ANPR,30.9375,18.5,44.41391486159865,16
DPK->HLW,0.0,0.0,0.0,16
JRKN->HMH,2.375,0.0,4.674398357008098,16
JRK->ISH,26.0,24.5,13.846780612594875,16
ETP->VGE,0.0,0.0,0.0,16
PTNR->DBSI,3.125,0.0,7.013083012009292,16
ANPR->CPU,10.125,0.0,38.90822535146007,16
NKD->INK,28.0,0.0,42.43740488452767,16
SLKR->KGB,52.9375,29.0,111.70405468618107,16
OGL->GDR,19.375,0.0,37.094249329691706,16
VVKP->DKZ,4.4375,0.0,7.941190087134295,16
KOI->USL,25.375,24.5,15.521490478258414,16
KOI->BHTK,41.625,3.0,106.79318018175755,16
TEL->PVD,45.6875,44.0,41.28554024514313,16
HR->RMB,25.6875,40.5,23.657891565677048,16
ANGL->SBP,19.125,21.5,18.600627229567646,16
AGC->TDL,2.125,0.0,3.5000000000000004,16
MMI->HPT,16.25,13.0,17.24142298845042,16
UKH->WDN,45.3125,27.5,55.604218964631336,16
PCZ->KRA,9.5,0.0,27.517267306184316,16
VKI->NDZ,24.375,25.0,9.41541289588513,16
BJU->KGG,12.5,5.5,16.990193249832878,16
ARNA->KVGM,0.0,0.0,0.0,16
STNL->NWN,0.0,0.0,0.0,16
BJWS->GRKA,0.0,0.0,0.0,16
BRY->CH,8.875,1.5,12.816005617976296,16
INK->KDM,18.375,0.0,34.53862572058516,16
PND->SBRA,51.5625,26.5,103.47751366037616,16
BKI->ARNA,5.6875,0.0,9.075378779973867,16
QLN->TVP,0.0,0.0,0.0,16
HCNR->KDJR,29.75,16.5,33.81419820134732,16
TPY->BTPD,16.125,0.0,44.18427322023075,16
MKH->DGW,4.0,0.0,5.761944116355173,16
BU->GLNA,0.0,0.0,0.0,16
PNBE->JSME,3.9375,0.0,8.73665649242699,16
BHTK->KGS,45.4375,16.5,108.55779950484136,16
RN->SNDD,105.3125,101.5,103.90618765662289,16
KMC->MED,88.75,70.5,99.93631305319737,16
HLW->JRKN,0.0,0.0,0.0,16
CKP->PRR,85.75,0.0,113.47628239710123,16
KYN->MMR,112.8125,29.5,173.81684565465264,16
BTJL->KAWR,119.9375,115.0,130.73865470217035,16
PUNE->MMR,10.9375,9.5,11.907805563298949,16
LDA->GW,27.0625,28.0,14.676369896310645,16
PND->KOI,14.5,11.0,11.999999999999998,16
BIG->SLKR,46.25,19.5,107.33095235454371,16
KRH->PSL,2.5,0.0,3.4253953543107003,16
BPH->HGR,46.375,31.5,52.12277173494646,16
HDU->KMZ,8.125,1.5,10.072239075796404,16
G->NAB,113.75,9.0,201.356565988464,16
TRG->GCT,0.375,0.0,1.02469507659596,16
JAT->LDH,7.125,6.5,4.48516071804196,16
SHK->KIUL,37.0,26.0,43.84822307308092,16
DLN->SAHA,0.0,0.0,0.0,16
MHRG->BJWS,0.0,0.0,0.0,16
GLNA->BKI,4.6875,1.5,6.394985014316558,16
TZR->STA,12.1875,5.5,14.501580373646634,16
SDGH->NPS,43.0625,0.0,96.40018585735886,16
JMP->BGP,47.5,0.0,107.51806049838014,16
MNGD->NRLR,19.375,22.0,20.359682381281555,16
DVG->HPHI,27.3125,12.0,35.657105416265445,16
G->WSA,35.8125,19.5,51.9233008067348,16
DMM->YNK,36.25,4.0,61.38458003983302,16
SDS->BDSW,0.0,0.0,0.0,16
BUA->SGRD,0.0,0.0,0.0,16
CRJ->VDS,38.9375,8.5,73.08941441823158,16
CHDX->BUH,40.9375,15.5,97.82737772900452,16
GHPU->TPY,10.25,0.0,31.096623610932426,16
KYE->SMRR,23.3125,25.0,13.067612635826025,16
PBR->BNVD,10.625,9.0,4.349329450233296,16
BAK->DO,6.8125,0.0,10.80875416811145,16
BAI->KUT,10.0,1.0,13.053735097664575,16
MTC->NZM,7.4375,0.0,19.30101465381203,16
DO->JW,6.25,0.0,10.433919046392235,16
DNDI->PKNS,55.1875,36.0,64.99766021429797,16
JSG->IB,34.5625,9.0,50.047935355350404,16
ATU->ETP,17.8125,0.0,53.37567329786108,16
MWW->MKH,3.9375,0.0,5.4950735512214335,16
FSW->SDS,5.25,4.0,4.739901546094251,16
MKRN->LDA,23.4375,21.0,14.979847573768344,16
RU->YPD,7.9375,6.0,7.3979163733220625,16
KNNA->NHR,3.1875,0.0,5.4310066592974575,16
AIA->HSI,1.75,0.0,2.32379000772445,16
NDZ->VDD,28.3125,29.0,10.21579659155369,16
NDRT->MHRG,2.9375,0.0,7.7068692303252,16
KVGM->BAK,5.5625,0.0,9.040418500637383,16
